user_id,product_id,score
A100WO06OQR8BQ,B00474OR8G,0.0
A100WO06OQR8BQ,B003CK2BQG,0.0
A100WO06OQR8BQ,B0051COPH6,0.0
A101ZQ4ACTK6A2,B001VDXO3K,0.0
A101ZQ4ACTK6A2,B002GSSDLW,0.0
A101ZQ4ACTK6A2,B003SDZEY8,0.0
A101ZQ4ACTK6A2,B003CK2BQG,0.0
A102714YQ4VYZP,B0045XE32E,0.0
A102714YQ4VYZP,B00474OR8G,0.0
A102714YQ4VYZP,B003SDZEY8,0.0
A102714YQ4VYZP,B003CK2BQG,0.0
A102714YQ4VYZP,B0051COPH6,0.0
A103FR6DPI1X23,B0045XE32E,0.0
A103FR6DPI1X23,B00474OR8G,0.0
A103FR6DPI1X23,B003SDZEY8,0.0
A103FR6DPI1X23,B003CK2BQG,0.0
A103FR6DPI1X23,B0051COPH6,0.0
A103U3KR4L2ZXT,B0045XE32E,0.0
A103U3KR4L2ZXT,B00474OR8G,0.0
A103U3KR4L2ZXT,B003SDZEY8,0.0
A103U3KR4L2ZXT,B003CK2BQG,0.0
A103U3KR4L2ZXT,B0051COPH6,0.0
A103WGMGH35ZF7,B0045XE32E,0.0
A103WGMGH35ZF7,B00474OR8G,0.0
A103WGMGH35ZF7,B003SDZEY8,0.0
A103WGMGH35ZF7,B003CK2BQG,0.0
A103WGMGH35ZF7,B0051COPH6,0.0
A1045NW0WUEBP8,B0045XE32E,0.0
A1045NW0WUEBP8,B001VDXO3K,0.0
A1045NW0WUEBP8,B003SDZEY8,0.0
A1045NW0WUEBP8,B003CK2BQG,0.0
A105TOJ6LTVMBG,B002RU3GH0,0.0
A105TOJ6LTVMBG,B002GSSDLW,0.0
A106ZCP7RSXMRU,B000W0A78S,0.0
A106ZCP7RSXMRU,B003CK2BQG,0.0
A106ZCP7RSXMRU,B0051COPH6,0.0
A106ZCP7RSXMRU,B002TSA91Q,0.0
A1072Q1O6YB3NY,B0045XE32E,0.0
A1072Q1O6YB3NY,B00474OR8G,0.0
A1072Q1O6YB3NY,B003SDZEY8,0.0
A1072Q1O6YB3NY,B003CK2BQG,0.0
A1072Q1O6YB3NY,B0051COPH6,0.0
A1080SE9X3ECK0,B0045XE32E,0.0
A1080SE9X3ECK0,B00474OR8G,0.0
A1080SE9X3ECK0,B003SDZEY8,0.0
A1080SE9X3ECK0,B003CK2BQG,0.0
A1080SE9X3ECK0,B0051COPH6,0.0
A108LZYTLP93OP,B00474OR8G,0.0
A108LZYTLP93OP,B003SDZEY8,0.0
A108LZYTLP93OP,B003CK2BQG,0.0
A108LZYTLP93OP,B0051COPH6,0.0
A108LZYTLP93OP,B002TSA91Q,0.0
A109R6CX8Y1KG1,B0045XE32E,0.0
A109R6CX8Y1KG1,B003SDZEY8,0.0
A109R6CX8Y1KG1,B003CK2BQG,0.0
A109R6CX8Y1KG1,B0051COPH6,0.0
A109R6CX8Y1KG1,B002TSA91Q,0.0
A10AZVYK32ZJSE,B0045XE32E,0.0
A10AZVYK32ZJSE,B001VDXO3K,0.0
A10AZVYK32ZJSE,B003SDZEY8,0.0
A10AZVYK32ZJSE,B003CK2BQG,0.0
A10AZVYK32ZJSE,B0051COPH6,0.0
A10B0RPG0JI7AF,B000G7TC38,0.0
A10B0RPG0JI7AF,B001D0GVAO,0.0
A10B0RPG0JI7AF,B002GSSDLW,0.0
A10B0RPG0JI7AF,B003SDZEY8,0.0
A10F4G1THW8581,B0045XE32E,0.0
A10F4G1THW8581,B001VDXO3K,0.0
A10F4G1THW8581,B003SDZEY8,0.0
A10F4G1THW8581,B003CK2BQG,0.0
A10F4G1THW8581,B0051COPH6,0.0
A10FPD6C05W99J,B0045XE32E,0.0
A10FPD6C05W99J,B001VDXO3K,0.0
A10FPD6C05W99J,B003SDZEY8,0.0
A10FPD6C05W99J,B003CK2BQG,0.0
A10FPD6C05W99J,B0051COPH6,0.0
A10GLVITSITGSA,B0045XE32E,0.0
A10GLVITSITGSA,B001VDXO3K,0.0
A10GLVITSITGSA,B003SDZEY8,0.0
A10GLVITSITGSA,B003CK2BQG,0.0
A10GLVITSITGSA,B0051COPH6,0.0
A10IJEOBOPIDR9,B0045XE32E,0.0
A10IJEOBOPIDR9,B001VDXO3K,0.0
A10IJEOBOPIDR9,B003SDZEY8,0.0
A10IJEOBOPIDR9,B003CK2BQG,0.0
A10IJEOBOPIDR9,B0051COPH6,0.0
A10KKVHMXUFS2Y,B0045XE32E,0.0
A10KKVHMXUFS2Y,B001VDXO3K,0.0
A10KKVHMXUFS2Y,B003SDZEY8,0.0
A10KKVHMXUFS2Y,B003CK2BQG,0.0
A10KKVHMXUFS2Y,B0051COPH6,0.0
A10KYERWZTXXI6,B0045XE32E,0.0
A10KYERWZTXXI6,B001VDXO3K,0.0
A10KYERWZTXXI6,B003SDZEY8,0.0
A10KYERWZTXXI6,B003CK2BQG,0.0
A10KYERWZTXXI6,B0051COPH6,0.0
A10NLGRY65BI7W,B0045XE32E,0.0
A10NLGRY65BI7W,B001VDXO3K,0.0
A10NLGRY65BI7W,B003SDZEY8,0.0
